Feature,Importance
morgan_81,0.0614697971580903
morgan_795,0.061411082797318245
morgan_579,0.02836900317797899
morgan_302,0.02590025059219512
morgan_837,0.023716875006064495
morgan_86,0.017654363641662073
morgan_888,0.014525399261915444
morgan_787,0.014406449066012435
morgan_115,0.014382613671807718
morgan_716,0.01312401674987173
morgan_284,0.0121293329293981
morgan_498,0.01208848295936762
morgan_727,0.010785428108768258
morgan_900,0.010487516223378837
morgan_830,0.009213996197019873
morgan_129,0.009183745957477408
morgan_337,0.009044669650527344
morgan_791,0.00874957505710696
morgan_228,0.008567586122739439
morgan_34,0.008470348856433371
morgan_854,0.008086034019583643
morgan_397,0.007800317182876836
morgan_148,0.007753769021937007
morgan_651,0.0075909893005165555
morgan_657,0.007569896549430052
morgan_808,0.007309733324575906
morgan_165,0.007256732586342255
morgan_411,0.00712505727969573
morgan_729,0.007061290560951267
morgan_961,0.0070009401132147455
morgan_193,0.006985272009284643
morgan_876,0.00695019902306178
morgan_513,0.006842790908127859
morgan_674,0.006789869135297865
morgan_724,0.0067069612235545585
morgan_928,0.006666176597900298
morgan_742,0.006591504055822145
morgan_663,0.006386985180627335
morgan_668,0.006186387446247797
morgan_889,0.00552172008753499
morgan_138,0.005521315137457445
morgan_541,0.005443177577290309
morgan_394,0.005416049873415702
morgan_122,0.00539672745897568
morgan_480,0.005247016997710307
morgan_704,0.005229890794518211
morgan_145,0.005218855863378471
morgan_603,0.005163554490526272
morgan_311,0.0045529455384076024
morgan_84,0.004551545997040865
morgan_981,0.004536514508143902
morgan_1020,0.004423953289586542
morgan_2,0.0042678214014722935
morgan_695,0.004229193942847447
morgan_726,0.004180141148573075
morgan_105,0.004132504272234382
morgan_357,0.004058391347617664
morgan_873,0.004013409926006501
morgan_140,0.0037471470172468803
morgan_843,0.003735858209107369
morgan_865,0.0037275050656350394
morgan_660,0.0036811375356825926
morgan_893,0.0036507309574572745
morgan_914,0.003636784843138654
morgan_401,0.0036348615998634836
morgan_982,0.003619746043427503
morgan_189,0.003536409940656249
morgan_390,0.0035093879111460268
morgan_1018,0.003439904277811763
morgan_960,0.003339044081822046
morgan_622,0.0033354256073341087
morgan_936,0.003264505039796905
morgan_680,0.0031927436838289796
morgan_658,0.003190364653188179
morgan_782,0.0031880019655961644
morgan_424,0.003101971021201649
morgan_786,0.003096808716141064
morgan_905,0.003064698333362528
morgan_824,0.0030401928758837958
morgan_387,0.003027642991821687
morgan_346,0.003014729119453518
morgan_50,0.002959899206291534
morgan_93,0.002938296611410152
morgan_252,0.0028739380211554805
morgan_562,0.0028690344875696174
morgan_850,0.0028317208184651375
morgan_975,0.0027432314528632947
morgan_320,0.002742589060591326
morgan_745,0.002724683010850297
morgan_65,0.002668882752092364
morgan_804,0.0026486204895380724
morgan_239,0.0026357081875882393
morgan_576,0.002490350222615902
morgan_87,0.002465960637926365
morgan_1014,0.0023481061600286114
morgan_542,0.002158625018804195
morgan_931,0.002118190425001788
morgan_440,0.0020463676452518536
morgan_19,0.0020090708906398552
morgan_696,0.0019917917948675964
morgan_323,0.001964619567977602
morgan_226,0.001944560295316418
morgan_894,0.0019392585525088418
morgan_279,0.0018858400903370473
morgan_381,0.0018788828708696766
