Feature,Importance
maccs_124,0.015128132611264819
maccs_119,0.013407153138601885
maccs_147,0.012766286796731486
maccs_137,0.012741450024562513
maccs_87,0.012405146125193178
maccs_150,0.011967645446839205
maccs_160,0.01160693304168345
maccs_127,0.011382371222388018
maccs_99,0.010429975759452181
maccs_162,0.010204422009429595
maccs_146,0.01013074980588925
maccs_164,0.009577496437667367
maccs_90,0.009332749751853059
maccs_140,0.008412009648862535
maccs_155,0.008123981108423156
maccs_51,0.008020780879461384
maccs_148,0.007956833080558383
maccs_139,0.007284386886410828
maccs_142,0.007158650205927423
maccs_131,0.006979719922602266
maccs_126,0.006648561313715534
maccs_128,0.006520681785329074
maccs_115,0.00618411671883724
maccs_107,0.006097078295523423
maccs_116,0.005901583128635018
maccs_129,0.0058708225408393554
maccs_161,0.005773546809227527
maccs_77,0.0055488498461041475
maccs_123,0.005483178697338537
maccs_166,0.005474838464815987
maccs_104,0.005466882642708724
maccs_117,0.005414129991166868
maccs_158,0.0053187609413737754
maccs_73,0.005304626959054029
maccs_163,0.005096489935456949
maccs_152,0.0050116008340241255
maccs_153,0.005005645434560697
maccs_157,0.005004658737580194
maccs_165,0.0049793135368666405
maccs_133,0.0049172621452585035
maccs_35,0.004870852050188529
maccs_75,0.004813469827057978
maccs_100,0.004682155170649264
maccs_58,0.004661100584056343
maccs_141,0.004552312577221657
maccs_145,0.004527472869562236
maccs_85,0.0044998404977990075
maccs_106,0.004420124130783347
maccs_49,0.0043638520402201775
maccs_50,0.004347160157903354
maccs_156,0.004325369419973516
maccs_92,0.0042669758287627564
maccs_159,0.00423614268274072
maccs_103,0.004187205266814543
maccs_66,0.00418199984239342
maccs_76,0.003990833536991936
maccs_78,0.003977998895338602
maccs_151,0.003930433735462347
maccs_109,0.003885171360610306
maccs_154,0.003860991686400778
maccs_130,0.0037855522709648766
maccs_134,0.003771731768545413
maccs_108,0.003621539429553418
maccs_121,0.003508660578979823
maccs_125,0.0034025519535666377
maccs_149,0.0033950593809685898
maccs_111,0.0033040600859997435
maccs_54,0.0032881777156771965
maccs_110,0.003246252482626595
maccs_118,0.003204095710601696
maccs_94,0.003182754491192337
maccs_132,0.003169564269070241
maccs_102,0.003121483253606972
maccs_37,0.0030409764631734075
maccs_138,0.0029950216213148486
maccs_97,0.0029763371552531063
maccs_43,0.0029643322144678663
maccs_144,0.0029603466993728973
maccs_136,0.002936672875707275
maccs_70,0.0028778294151971303
maccs_39,0.002809806228244634
maccs_113,0.0028021987746071693
maccs_82,0.0027341783363443567
maccs_135,0.0027193681136239095
maccs_114,0.0026742307216246516
maccs_112,0.002666727310755579
maccs_67,0.0026108662862342146
maccs_86,0.002574140740287467
maccs_88,0.0025625155853473826
maccs_42,0.0023820537688833943
maccs_105,0.0023611491893824926
maccs_30,0.0023324364712926163
maccs_95,0.002210293416673758
maccs_91,0.002158880310613087
maccs_143,0.002086156721927852
maccs_81,0.0020670541323487574
maccs_98,0.0019917394795250197
maccs_122,0.0019700299634725026
maccs_101,0.0017984202858707477
maccs_167,0.001751659527861753
maccs_63,0.001747355939151335
maccs_59,0.0016888451751069082
maccs_89,0.001597212332857609
maccs_83,0.0014868847769893495
maccs_62,0.0013691958691675334
maccs_24,0.0013531457988927766
maccs_61,0.0012461951513585943
maccs_120,0.0012223411574296499
maccs_48,0.0011203861630445545
maccs_56,0.0011189668240976815
maccs_60,0.001104750701592368
maccs_55,0.0010797040193956187
maccs_68,0.0010675184173497797
maccs_80,0.0010575280938529626
maccs_53,0.0010352123172657657
maccs_84,0.0010305797870973747
maccs_64,0.0009919864062816694
maccs_96,0.0009864242576880795
maccs_29,0.0009050224385797572
maccs_93,0.0008861998141209653
maccs_74,0.0007438989575919314
maccs_38,0.0007327326668240911
maccs_31,0.0007173932664217407
maccs_40,0.0007156502512562548
maccs_41,0.00070907302110938
maccs_79,0.0006523807818419525
maccs_47,0.0006111850824152355
maccs_26,0.0006015247206319382
maccs_18,0.000590521124444416
maccs_65,0.0005717467159444425
maccs_45,0.0005672539995533297
maccs_44,0.0005322603158018026
maccs_25,0.0004676512876778452
maccs_71,0.00045196222605646774
maccs_46,0.000427478247322419
maccs_52,0.0004157988529585768
maccs_27,0.0004083603671743009
maccs_19,0.0003818227422949308
maccs_14,0.00037983221809962303
maccs_15,0.00036738411614916646
maccs_32,0.00035690257475250647
maccs_23,0.0003165690157824342
maccs_17,0.000310564009950848
maccs_22,0.000300809627077958
maccs_57,0.00022619102627788966
maccs_12,0.00017419606114570376
maccs_34,0.0001734813060760801
maccs_9,0.0001507292653283089
maccs_72,0.00014990126151505812
maccs_20,0.00012840116935178153
maccs_1,0.0
maccs_2,0.0
maccs_3,0.0
maccs_4,0.0
maccs_5,0.0
maccs_6,0.0
maccs_7,0.0
maccs_8,0.0
maccs_10,0.0
maccs_11,0.0
maccs_13,0.0
maccs_16,0.0
maccs_21,0.0
maccs_28,0.0
maccs_33,0.0
maccs_36,0.0
maccs_69,0.0
