Feature,Importance
maccs_161,0.00821694614905922
maccs_164,0.007079464775431577
maccs_132,0.0065798910589527455
maccs_150,0.006099077666600045
maccs_148,0.005495168393676954
maccs_154,0.005401772919300417
maccs_151,0.005071930646801086
maccs_124,0.004872585432297695
maccs_58,0.004534285309228064
maccs_158,0.004412746661859818
maccs_166,0.004398684868489085
maccs_116,0.004357268526523308
maccs_133,0.0034957492071885634
maccs_122,0.00344929933946528
maccs_119,0.0032928488896193106
maccs_145,0.003255984235840801
maccs_117,0.003158720957683089
maccs_157,0.003105867520938756
maccs_113,0.0030673129800967056
maccs_23,0.00303924967112681
maccs_155,0.003027082988573455
maccs_126,0.0030130509004998095
maccs_138,0.0029970989638238915
maccs_137,0.0029093022343269683
maccs_160,0.002870056991306906
maccs_50,0.0028586093871065805
maccs_110,0.002828029661061874
maccs_64,0.002768472646822899
maccs_87,0.0027382776757668426
maccs_131,0.002702604749732623
maccs_144,0.0026918499226692024
maccs_159,0.0026596291727374838
maccs_103,0.002612594057857704
maccs_47,0.0025589018113764904
maccs_115,0.002378362148739387
maccs_143,0.0023257900471379046
maccs_73,0.0022960985787025766
maccs_130,0.00228496523038375
maccs_129,0.002267847507524583
maccs_35,0.002233527556309934
maccs_121,0.0022304905328043912
maccs_108,0.002222036036950415
maccs_127,0.0022109435753717753
maccs_97,0.0021872724434197875
maccs_109,0.0021787753401443116
maccs_162,0.002160488287290419
maccs_17,0.0021365559463710888
maccs_100,0.0021331922974138474
maccs_141,0.0020927378744630275
maccs_142,0.002046332271504465
maccs_106,0.0019960913329657983
maccs_156,0.001924463594115884
maccs_104,0.001916212317510992
maccs_139,0.0019049602382417553
maccs_90,0.0019029750101347844
maccs_149,0.0018590417387308795
maccs_146,0.0018365006872162282
maccs_140,0.0018312107063468072
maccs_134,0.001807378562864896
maccs_165,0.0017518987072922118
maccs_128,0.0017454714538136797
maccs_135,0.001710932795659458
maccs_98,0.0015761539592997387
maccs_152,0.0015481286859497457
maccs_123,0.0015463189307398746
maccs_107,0.0015380784917129865
maccs_83,0.0015070959832854396
maccs_75,0.001493018949512485
maccs_163,0.0014905702892327771
maccs_125,0.0014669132104528216
maccs_89,0.0014427867928037347
maccs_61,0.0014337366526884175
maccs_55,0.0014235808392408342
maccs_153,0.0014233800856808692
maccs_49,0.0013900910842892535
maccs_147,0.0013873690305205668
maccs_66,0.001360329025941716
maccs_85,0.0013184083050608057
maccs_96,0.001309713047074293
maccs_114,0.0012784749748641557
maccs_91,0.0012643154876727707
maccs_84,0.0012193322157471648
maccs_76,0.001218221228783033
maccs_102,0.0011660805887049467
maccs_99,0.001154463130572338
maccs_105,0.0011397524002479393
maccs_77,0.0011081397695196704
maccs_111,0.0011065635956767454
maccs_63,0.0011052874149309532
maccs_112,0.001024601402313332
maccs_38,0.0010089756928346907
maccs_42,0.0010061364449856377
maccs_81,0.001005926222721588
maccs_92,0.0010055758286662121
maccs_32,0.0010028484184947876
maccs_136,0.0009976589821249697
maccs_43,0.0009455365713900285
maccs_40,0.0009418934229980509
maccs_118,0.0009360134382334293
maccs_86,0.0009066569461385218
maccs_67,0.0009052377571735308
maccs_54,0.0008811832597931991
maccs_94,0.0008517687791006093
maccs_80,0.0008273348877383672
maccs_74,0.0008186777733105279
maccs_101,0.0008068297770558341
maccs_78,0.000755178556674818
maccs_82,0.0007119518873872221
maccs_88,0.0006758613663008731
maccs_24,0.000639111196957405
maccs_51,0.0006079150324599736
maccs_30,0.0005660438627529327
maccs_95,0.0005253824138830648
maccs_59,0.0004547790245595127
maccs_53,0.0004513273193381157
maccs_93,0.0004144570973871799
maccs_65,0.0004082673769346167
maccs_68,0.000396842282939487
maccs_52,0.00038917914782375364
maccs_72,0.00037812018925340024
maccs_62,0.0003747920660103716
maccs_69,0.0003652420828614912
maccs_44,0.00036340441288374624
maccs_56,0.00035153083444401656
maccs_79,0.00034554947300810345
maccs_70,0.0003257578811550508
maccs_120,0.0003130954888807282
maccs_29,0.00028273215775086863
maccs_41,0.00026174448355417056
maccs_22,0.0002540164419228514
maccs_16,0.0002531860464079066
maccs_37,0.00023683274043196796
maccs_14,0.00020888698609845447
maccs_60,0.00018966501299103053
maccs_31,0.0001618040034392473
maccs_26,0.0001519389969965724
maccs_71,0.00015130085559417504
maccs_57,0.00013748880227521133
maccs_20,0.00012555424576025484
maccs_167,0.0001233664822611982
maccs_18,0.00012098247754193617
maccs_19,0.00011585509013293949
maccs_25,6.678229870718404e-05
maccs_39,6.597445707360833e-05
maccs_33,5.352478958784994e-05
maccs_12,2.091632958590004e-05
maccs_28,1.0143876847561583e-05
maccs_45,9.59813411929432e-06
maccs_46,6.457247143251896e-06
maccs_1,0.0
maccs_2,0.0
maccs_3,0.0
maccs_4,0.0
maccs_5,0.0
maccs_6,0.0
maccs_7,0.0
maccs_8,0.0
maccs_9,0.0
maccs_10,0.0
maccs_11,0.0
maccs_13,0.0
maccs_15,0.0
maccs_21,0.0
maccs_27,0.0
maccs_34,0.0
maccs_36,0.0
maccs_48,0.0
