Feature,Importance
morgan_1018,0.12299740100209855
morgan_81,0.12250906943925303
morgan_808,0.11441958611297486
morgan_34,0.10942157398899363
morgan_120,0.08628615949709614
morgan_651,0.08311788340397822
MQN25,0.07472812346406058
morgan_176,0.07001345318325544
morgan_295,0.06922931289146794
morgan_882,0.06768733115916951
morgan_474,0.06545728883624437
morgan_351,0.06388515748162893
morgan_167,0.06379540991332593
peoe_VSA2,0.05946241287186618
morgan_141,0.05491894045590317
morgan_129,0.05453842190448806
morgan_667,0.053709364086974395
morgan_1010,0.05170009363133742
morgan_607,0.050726929672795754
morgan_894,0.0493449802157729
morgan_289,0.04923362746894892
morgan_697,0.047737476426517246
FractionCSP3,0.046520986863857625
morgan_368,0.045710698098894505
peoe_VSA14,0.04560194196519033
morgan_850,0.04552912552975088
morgan_832,0.044852421062028795
morgan_782,0.044615277758570535
morgan_246,0.04437077844512101
slogp_VSA12,0.04391585584565927
MQN24,0.0438440898849442
morgan_286,0.04378498771562417
morgan_453,0.04331845934941292
morgan_451,0.043301701818378835
NumAmideBonds,0.042772176397955164
morgan_433,0.042554726293906914
NumUnspecifiedStereocenters,0.04179424585214479
morgan_803,0.04056322011966111
morgan_316,0.040467383273556805
morgan_916,0.04046373227007941
morgan_367,0.040322450180576334
morgan_836,0.04016815798640434
kappa3,0.03982329373548719
morgan_429,0.03826448252660193
morgan_46,0.038056774876836515
morgan_695,0.03800035913823839
morgan_260,0.037932284357795644
morgan_631,0.037701051103335215
MQN14,0.037604712404151745
morgan_754,0.03737014563046975
morgan_267,0.03725497181860151
morgan_795,0.037003557445283615
morgan_1005,0.036815172715265215
morgan_858,0.03672454221253603
smr_VSA1,0.036702232858206944
smr_VSA3,0.03659515774803324
MQN3,0.036359111898292
morgan_940,0.03619037320872215
morgan_675,0.03581909344018746
morgan_226,0.035784790278068496
morgan_401,0.03568994230241002
morgan_165,0.035554870411033106
peoe_VSA13,0.034905030289718815
morgan_508,0.03463996879402549
morgan_716,0.03438050380153023
morgan_599,0.03432898788378507
MQN26,0.03427683138424563
morgan_362,0.034131778871957064
MQN42,0.0340886920708181
morgan_787,0.03405632502197017
morgan_100,0.033799892450661055
NumHBD,0.033736271605863295
morgan_620,0.033673553500918205
morgan_228,0.0333487766245659
morgan_57,0.03306244543763427
morgan_579,0.0329583659586354
peoe_VSA11,0.032830395982005364
morgan_544,0.032724725341186534
morgan_196,0.03256320891662035
morgan_595,0.03242589159720719
morgan_646,0.03224804602189007
peoe_VSA9,0.031988030605259364
peoe_VSA3,0.031967078603029685
morgan_346,0.031949480252876916
morgan_702,0.03168396000174456
morgan_694,0.03165496021170996
morgan_326,0.03160927836797405
morgan_562,0.03108099812090957
morgan_717,0.030921634158510118
morgan_663,0.030858641954997483
morgan_117,0.030613441069530876
morgan_323,0.030505852415893243
morgan_794,0.03038690223009905
slogp_VSA4,0.030272921837014688
slogp_VSA3,0.03012161595545159
morgan_592,0.030105526863023965
morgan_374,0.029936128632063904
morgan_899,0.02987051482224404
morgan_839,0.02986926243787393
morgan_1023,0.029766590474974704
morgan_861,0.029747077555944468
morgan_164,0.029691817018783786
MQN10,0.029556090310860476
morgan_994,0.029517419430264875
morgan_554,0.029370155932922547
morgan_727,0.029354308163173398
morgan_333,0.029250250217505297
peoe_VSA5,0.028680804997942712
morgan_62,0.02806562949692496
morgan_756,0.02791281711947706
morgan_941,0.02790292026323638
morgan_648,0.02775116984819362
morgan_606,0.027744263160850248
morgan_2,0.027547221565041427
morgan_6,0.02743246637172484
morgan_566,0.027238347039146488
morgan_706,0.02696936247677224
MQN35,0.026941297295946593
peoe_VSA1,0.02691342111614997
morgan_376,0.02676276424307609
morgan_905,0.026748268738784425
morgan_250,0.026614846294000995
morgan_558,0.026403985516392035
morgan_542,0.02640246377932993
morgan_771,0.026396773793567776
morgan_683,0.026139064331122043
morgan_349,0.025816351941801256
morgan_12,0.02568882282760309
morgan_483,0.025377751317171345
MQN29,0.025357717607107404
NumLipinskiHBD,0.025308274082305543
MQN22,0.025308274082305543
morgan_47,0.025295220598759816
morgan_386,0.02526874309343972
morgan_898,0.02525045364529608
morgan_576,0.025144832432484304
smr_VSA6,0.02505463358058203
morgan_385,0.025016639495761956
morgan_1008,0.024966693203880112
morgan_170,0.02484904798462588
morgan_22,0.024762777335310578
morgan_25,0.024687628887358308
morgan_87,0.024630041201330402
morgan_977,0.024509473623085858
morgan_107,0.02448614144168362
morgan_907,0.0244285327949684
morgan_726,0.02435406527333949
morgan_577,0.024284146750926015
morgan_50,0.024160818655038652
slogp_VSA1,0.024072936122452253
slogp_VSA11,0.023985214501778516
morgan_852,0.023977553870258326
morgan_356,0.023971853364542467
morgan_364,0.023873197020645453
morgan_42,0.023847389676383463
morgan_746,0.023682597933210477
morgan_662,0.023675451541833557
morgan_851,0.023592368972233956
morgan_601,0.02355974549935661
morgan_317,0.023549602531157197
morgan_680,0.02351875210455212
morgan_105,0.02342679161764686
morgan_578,0.023303008600041576
morgan_814,0.023125680553480583
morgan_857,0.022889618184172563
