Feature,Importance
SlogP,0.7552309
smr_VSA1,0.5185193
TPSA,0.43823817
peoe_VSA1,0.19624221
peoe_VSA6,0.1955959
smr_VSA10,0.1851504
SMR,0.16459644
MQN20,0.15322205
kappa2,0.1393321
FractionCSP3,0.13650426
AMW,0.13639948
peoe_VSA10,0.12691295
kappa3,0.115050435
rdkit_492,0.110464245
peoe_VSA9,0.10695425
kappa1,0.10557761
slogp_VSA2,0.10441844
slogp_VSA6,0.10327972
slogp_VSA5,0.10275643
Chi3v,0.09768531
slogp_VSA12,0.0966875
smr_VSA6,0.09542589
Chi2v,0.0941132
Chi2n,0.09121087
slogp_VSA3,0.08917155
peoe_VSA7,0.08738146
peoe_VSA8,0.08604653
Chi4v,0.083806425
Chi4n,0.08266434
slogp_VSA1,0.08010539
rdkit_1106,0.07860383
peoe_VSA2,0.07677632
NumHBA,0.07529502
NumHeteroAtoms,0.074780405
MQN27,0.07413427
peoe_VSA4,0.073973805
HallKierAlpha,0.07287547
Chi3n,0.06598131
smr_VSA9,0.0636892
rdkit_734,0.06279713
rdkit_803,0.06120351
smr_VSA5,0.059923533
ExactMW,0.057898365
rdkit_1370,0.056634028
rdkit_314,0.05433359
Chi1v,0.054319266
smr_VSA7,0.051466953
MQN30,0.049919043
rdkit_526,0.049449958
Chi0v,0.048934937
rdkit_463,0.04816182
NumUnspecifiedStereocenters,0.047814168
Chi1n,0.04643532
MQN26,0.04286981
rdkit_1685,0.042551044
NumAtoms,0.04071024
rdkit_1965,0.039926663
rdkit_1577,0.039778363
peoe_VSA14,0.039136916
rdkit_530,0.038666647
rdkit_970,0.03847772
MQN10,0.03847674
rdkit_675,0.038381647
NumLipinskiHBD,0.036598485
rdkit_1239,0.036075447
MQN31,0.035961222
rdkit_772,0.035369787
MQN25,0.03469436
rdkit_617,0.033807177
NumRotatableBonds,0.033267897
rdkit_1810,0.03322922
MQN13,0.032736182
smr_VSA4,0.03265034
rdkit_634,0.032432165
LabuteASA,0.032279864
MQN8,0.032015745
rdkit_203,0.03182715
MQN14,0.03166218
rdkit_501,0.03162542
rdkit_1127,0.030723726
rdkit_1126,0.03068204
rdkit_1185,0.03061833
rdkit_891,0.030541368
rdkit_1386,0.030153925
rdkit_534,0.030129358
rdkit_930,0.029053314
rdkit_1668,0.027569536
rdkit_124,0.027552767
rdkit_1186,0.027002202
rdkit_663,0.026979584
rdkit_795,0.02691233
peoe_VSA11,0.026566856
smr_VSA3,0.026379112
slogp_VSA10,0.026253374
rdkit_1782,0.02612634
slogp_VSA4,0.026015822
rdkit_1195,0.025618097
rdkit_1994,0.025426965
rdkit_654,0.025332898
rdkit_1411,0.025129458
rdkit_1664,0.025078606
rdkit_741,0.02501399
slogp_VSA8,0.024150021
rdkit_759,0.02408466
rdkit_280,0.02405942
rdkit_1742,0.024014875
rdkit_1419,0.023702994
MQN16,0.023480887
NumAromaticCarbocycles,0.023480445
rdkit_431,0.0230971
MQN36,0.023085846
rdkit_1257,0.022610538
rdkit_362,0.022542287
rdkit_1151,0.022247236
rdkit_774,0.021596193
rdkit_1254,0.021426411
rdkit_1870,0.021361262
MQN24,0.021317272
MQN29,0.021060022
rdkit_841,0.020865237
rdkit_1805,0.020745445
rdkit_731,0.020699458
rdkit_1459,0.020697797
rdkit_1197,0.020546315
rdkit_707,0.02048394
rdkit_1620,0.020074666
MQN1,0.019888
rdkit_880,0.019841002
rdkit_1788,0.019766947
rdkit_1823,0.018993227
rdkit_1235,0.018825917
rdkit_97,0.018757144
rdkit_541,0.018604035
rdkit_205,0.018456992
rdkit_1013,0.01838624
rdkit_360,0.018249007
rdkit_386,0.01820125
rdkit_1265,0.018182682
rdkit_1530,0.018031923
rdkit_106,0.017918877
rdkit_1424,0.017882045
rdkit_655,0.01757897
rdkit_1872,0.017519375
rdkit_206,0.017459337
rdkit_892,0.017365117
rdkit_123,0.017352259
rdkit_1107,0.017235449
rdkit_1959,0.017210908
rdkit_767,0.017131777
rdkit_1942,0.017092125
rdkit_1934,0.017011961
rdkit_502,0.016904177
rdkit_1406,0.016884558
rdkit_392,0.016844004
rdkit_1028,0.01660534
rdkit_476,0.016484167
rdkit_1276,0.016386738
rdkit_1021,0.016362218
rdkit_1713,0.016175719
rdkit_548,0.016045576
rdkit_1901,0.016044483
rdkit_311,0.01602872
rdkit_1814,0.015797509
rdkit_1834,0.015544923
rdkit_181,0.015389691
rdkit_469,0.015206121
rdkit_1988,0.0150687555
rdkit_1360,0.015008953
rdkit_16,0.014854218
peoe_VSA3,0.014756553
rdkit_1919,0.014651888
rdkit_1806,0.014512616
rdkit_1569,0.014466782
rdkit_1100,0.014446429
rdkit_1382,0.014335545
rdkit_174,0.013991043
rdkit_763,0.0139372805
rdkit_905,0.013913294
rdkit_1773,0.013872972
rdkit_324,0.013801254
rdkit_980,0.013791487
rdkit_1146,0.013642866
rdkit_683,0.013616284
rdkit_574,0.013592762
MQN28,0.013553111
rdkit_1568,0.013514421
rdkit_1999,0.013479558
MQN33,0.013454429
rdkit_13,0.013428765
rdkit_1416,0.01334251
rdkit_1929,0.013037656
rdkit_2022,0.013011869
rdkit_1647,0.0130099505
rdkit_1076,0.012886784
rdkit_94,0.012875562
peoe_VSA12,0.012865789
rdkit_59,0.012851686
rdkit_110,0.01284247
rdkit_1042,0.012800733
rdkit_1019,0.012710927
rdkit_177,0.01267538
rdkit_332,0.012550338
rdkit_1440,0.0124432435
rdkit_1466,0.01242509
rdkit_1340,0.012339389
rdkit_724,0.0122765405
rdkit_1210,0.012253555
rdkit_1607,0.012211871
rdkit_687,0.012177154
rdkit_1225,0.012072254
rdkit_1401,0.011992724
rdkit_1119,0.011989273
MQN21,0.011960674
rdkit_1503,0.011949312
rdkit_9,0.011844171
rdkit_994,0.011837813
rdkit_623,0.011791719
