Feature,Importance
rdkit_876,0.11065589274370632
rdkit_767,0.09443902227571989
rdkit_1288,0.05551550552715204
rdkit_1669,0.045990556778254324
rdkit_1363,0.043495713095204884
rdkit_1014,0.0392464477597405
rdkit_1709,0.026988488568677523
rdkit_1739,0.025691145539153002
rdkit_1193,0.025577499161367437
rdkit_432,0.02543644928893629
rdkit_460,0.02379232157664317
rdkit_1729,0.017594062052607804
rdkit_1677,0.00876547952506268
rdkit_1061,0.008545684400611313
rdkit_1713,0.008140409905358524
rdkit_355,0.006378121296786146
rdkit_1076,0.00493296180220425
rdkit_1524,0.004525618479757296
rdkit_1441,0.003058345904578624
rdkit_643,0.0019438170951351801
rdkit_1626,0.0018814914641558764
rdkit_579,0.0014664301688366121
rdkit_2001,0.0012232451693301564
rdkit_1569,0.0011661002582573337
rdkit_1219,0.0011601762387336023
rdkit_1972,0.0011541297105100302
rdkit_30,0.001151966692514251
rdkit_440,0.0011514318292292936
rdkit_182,0.00113535255806141
rdkit_250,0.0011349336026542508
rdkit_114,0.0011199036771739172
rdkit_1439,0.0011123566411898626
rdkit_622,0.0011101656352727094
rdkit_679,0.001107659443601658
rdkit_509,0.0011053261174716617
rdkit_1190,0.0011040296090166343
rdkit_1532,0.0011014850440556013
rdkit_139,0.0010915835880275409
rdkit_1628,0.001090399244533415
rdkit_968,0.0010624144194776642
rdkit_1266,0.001060809822343214
rdkit_1611,0.0010568290806165699
rdkit_473,0.00104018089744031
rdkit_807,0.001031024324591046
rdkit_14,0.0010286414228370439
rdkit_655,0.001023586420644069
rdkit_1551,0.0010149802843702374
rdkit_1176,0.001014687857702221
rdkit_1864,0.001008756418267878
rdkit_1978,0.0010054649737705177
rdkit_448,0.0010017442815001378
rdkit_38,0.0009973257394975952
rdkit_1522,0.0009919452491314645
rdkit_1094,0.0009868990090743958
rdkit_42,0.0009863938873667002
rdkit_274,0.0009860649751459978
rdkit_871,0.000985625206295052
rdkit_1346,0.0009844849468731963
rdkit_1851,0.000981055486657455
rdkit_1427,0.0009806375470899048
rdkit_928,0.0009803469276509489
rdkit_399,0.0009754318560495866
rdkit_1819,0.0009716767168553856
rdkit_1891,0.0009680414659519119
rdkit_671,0.0009680202421390846
rdkit_256,0.0009625441766885728
rdkit_710,0.0009601956278667938
rdkit_403,0.0009548559236218362
rdkit_1745,0.0009478077695697076
rdkit_1691,0.000942993797341729
rdkit_1049,0.0009422138045021003
rdkit_1728,0.0009405798914885923
rdkit_1685,0.0009393814145823625
rdkit_1900,0.0009364055589881131
rdkit_128,0.0009363827340650197
rdkit_683,0.0009343313067286315
rdkit_521,0.0009331437446420815
rdkit_1610,0.0009315082401545753
rdkit_1587,0.0009241161929896264
rdkit_1912,0.0009170573730853666
rdkit_1015,0.0009164338723948615
rdkit_148,0.0009134648660554811
rdkit_300,0.000912991669448008
rdkit_1057,0.0009089531655003262
rdkit_1055,0.0009088901304053843
rdkit_1198,0.0009072124297693951
rdkit_1975,0.0009070478965587826
rdkit_1134,0.0009051105018454363
rdkit_45,0.0009024459014871104
rdkit_522,0.0009019693897075604
rdkit_335,0.0009010850667767571
rdkit_84,0.0009004020492443461
rdkit_1279,0.0008984525323075496
rdkit_1003,0.0008971871225067306
rdkit_1188,0.0008969587782169416
rdkit_1694,0.0008967499381064502
rdkit_563,0.0008965890768845655
rdkit_162,0.0008954043979605339
rdkit_586,0.0008951386075614298
rdkit_1183,0.0008950662378027341
rdkit_1398,0.0008936078161770521
rdkit_337,0.0008924138260149322
rdkit_1163,0.000891779248055513
rdkit_805,0.0008907449773415086
rdkit_342,0.0008895809204048892
rdkit_1195,0.000888997328564946
rdkit_1272,0.0008848422373225154
rdkit_1582,0.0008837125849037503
rdkit_1678,0.0008823079527594694
rdkit_1388,0.0008818999489420831
rdkit_58,0.0008805501326081895
rdkit_1951,0.0008779159585935442
rdkit_1643,0.0008763450938891571
rdkit_702,0.0008760082444993147
rdkit_1804,0.000871487073447716
rdkit_830,0.0008704231553206587
rdkit_1191,0.0008684359277100037
